Sezione 2.1,Sezione 2.1
Fratello,Брат
Fratelli,Братья
Insegnante,Учитель
Insegnanti,Учителья
Nome,Имя
Nomi,Имена
Tempo,Время
Tempi,Времена
Madre,Мать
Madri,Матери
Marito,Муж
Mariti,Мужья
Sedia,Стул
Sedie,Стулья
Sera,Вечер
Sere,Вечера
Bambino,Ребёнок
Bambini,Дети
Amico,Друг
Amici,Друзья
Figlio,Сын
Figli,Сыновья
Cappotto,Пальто
Cappotti,Пальто
Voce,Голос
Voci,Голоса
Mela ,Яблоко
Mele,Яблоки
Albero,Дерево
Alberi,Деревья
Numero,Номер
Numeri,Номера
Persona,Человек
Gente,Люди
Sezione 2.2,Sezione 2.2
"Sei una studentessa? No, sono l'insegnante","Ты студентка? Нет, Я преподаватель"
"Ecco la foto: loro sono le maestre, lui è un medico, noi siamo interpreti","Вот фотография:. они учительницы,. он врач,. мы переводчики"
"Lui è un giornalista? No, è un ingegnere","Он журналист? Нет, он инженер"
"E' lei il banchiere? No, sono un economista","Вы банкир? Нет, Я экономист"
"Sono insegnanti? No, sono ancora studenti","Они преподаватели? Нет, они ещё студенты"
Dove sono i turisti? Sono già qui?,Где туристы? Они уже здесь?
Sezione 3.1,Sezione 3.1
"Sei una maestra? No, sono una studentessa","Ты учительнича? Нет, Я студентка."
Chi è lui? E' un businessman.,Кто он? Он бизнесмен.
Loro sono studentesse,Они студентки.
Noi siamo medici/ е voi chi siete?,"Мы врачи,. а кто вы?"
Lui è interprete,Он переводчик.
E' lei il direttore?,Вы директор?
Chi sono loro? Sono insegnanti,Кто они? Они преподаватели.
Questi sono i turisti. Dove sono i colleghi?,Это туристы. Где коллеги?
Sezione 3.5,
"E' un vocabolario? No, non è un vocabolario,/ è un libro di testo","Это словарь? Нет, это не словарь, это учебник."
"E' un 'infermiera? No, non è un'infermiera, è un medico","Она медсестра? Нет, она не медсестра, она врач."
"Queste sono delle lettere? No, non sono delle lettere, sono documenti","Это письма? Нет, это не письма, это документы."
"Chi è lei? E' il direttore? No, non sono il direttore, sono l'interprete","Кто вы? Вы директор? Нет, Я не директор, Я переводчик."
"Il tuo amico è geologo? No, non è geologo, è un giornalista","Твой друг геолог? Нет, он не геолог, он журналист."
Sezione 4.1,Sezione 4.1
Questo è il vostro sito web,Это ваш сайт.
Questi sono i tuoi amici,Это твои друзья.
Questi sonо i miei dizionari,Это мои словари.
Questo è il mio cappotto,Это мой пальто.
Questa è la sua porta (di lei),Это её дверь.
Questa è la sua macchina (di lui),Это его машина.
Questa è la loro università,Это их университет.
Questa è la vostra insegnante,Это ваша учительница.
Questo è il vostro caffè ,Это ваш кофе.
Questo è il suo libro di testo (di lui),Это его учебник.
Sezione 4.2 SING.-PLUR.,Sezione 4.2 SING.-PLUR.
Это твой чемодан,Это твои чемоданы.
Вот наш словарь,Вот наши словари.
Это твоё место,Это твои места.
Вот ваш рюкзак,Вот ваши рюкзаки.
Это его сестра,Это их сёстры.
Это твой брат,Это твои братья.
Это её дом,Это их дома.
Вот моё платье,Вот мои платья.
Это её ребёнок,Это их дети.
Это их друг,Это их друзья.
Sezione 4.3,Sezione 4.3
Questo è Marco./ Questa è sua madre / e questi sono i suoi bambini/ e sua sorella,"Это Марко. Это его мать,. это его дети,. а это его сестра"
"Questa è Maria./ Questo è il suo computer, / questi sono i suoi libri / e le sue colleghe",Это Мария. Это её компютер. это её книги. и её коллеги
"Loro sono amici. Questa è la loro casa, / il loro giardino, / i loro cani, / le loro macchine","Они друзья. Это их дом. их сад,. их собаки,. их машины"
Sezione 5.1,Sezione 5.1
Nostro nonno / è una persona molto anziana,Наш дедушка. очень старый человек
Lei è una brava insegnante,Она хорошая учительница
Ecco del succo fresco / e là c'è del vino bianco,Вот свежий сук. а там белое вино
Questo è un nuovo articolo / molto interessante,Это  очень интересная. новая статья
"Che parola è questa? E' tedesco? No, è russo","Какое это слово?.Это Немецкое?. Нет, Русское."
Ivan e Pavel / sono persone belle e giovani,Иван н Павел. молодые и красивые люди
Qui ci sono grandi parchi / e alte case,Здесь большие парки. и высокие дома
Dov'è il nuovo vocabolario di italiano?,Где новый итальянский словарь?
Sezione 5.2  PLUR.- SING.,Sezione 5.2  PLUR.- SING.
Это трудные задания,Это трудное задание
Молодые мужчины / наши новые учителья,Молодой мужчина. наш новый учитель
Какие большие аудитории,Какая большая аудитория
Вот высокие старые деревья,Вот высокое старое дерево
"Здесь старые дома, / а там новые здания","Здесь старый дом,. а там новое здание"
Какие вкусные пироги,Какой вкусный пирог
Дорогие итальянские друзьа,Дорогой итальянский друг
Sezione 6.1,Sezione 6.1
Lui dice. che voi lavorate molto,"Он говорит,. что вы много работаете"
"Io chiedo,. ma tu non rispondi","Я спрашиваю,. а ты не отвечаешь"
Cosa legge Olga? E voi cosa leggete?,Что читает Ольга? А что вы читаете?
Io ascolto la radio. e (mio) fratello guarda la televisione,Я слушаю радио. а брат смотрет телевизор
Cosa dite? Non sento,Что вы говорите? Я не слушаю
L'insegnante inizia l'esercizio,Преподователь начинает задание
Chi apre la finestra qui?,Кто здесь открывает окно ?
Non capisco. cosa dice Ivan,Я не понимаю. что говорит Иван
Loro sanno. che noi leggiamo molto,"Они знают,. что мы много читаем"
Voi chiedete. dove noi ci riposiamo?,Вы спрашиваете. где мы отдыхаем?
Quale lingua. stai imparando?,Каой язык. ты изучаешь?
Sezione 6.2,Sezione 6.2
Cosa fa tuo marito. quando riposa?,Что делает твой муж. когда он отдыхает?
Io guardo la televisione. e lui ascolta la radio,"Я смотрю телевизор,. а он слушает радио"
Loro sanno. che noi impariamo il russo,"Они знают,. что мы изучаем русский язык"
Dove lavorate? Lavoriamo nella metropolitana,Где вы работаете?. Мы работаем в метро
Io non capisco. chi fa le domande qui e chi risponde,"Я не понимаю. кто здесь спрашивает,. а кто отвечает"
I colleghi pensano. che tu compri molto. e lavori poco,"Коллеги думают,. что ты много купишь. и мало работаешь"
Franco dice. che tu senti le voci,"Франко говорит,. что ты слушаешь голоса"
L'insegnante spiega l'esercizio. ma noi non capiamo,Преподователь объязняет задание. а мы не понимаем
La mamma racconta delle storie. e i bambini ascoltano,"Мать рассказывает сказки,. а дети слушают"
Voi dite. che state comprando una nuova casa?,"Вы говорите,. что вы покупаете новый дом?"
Sezione 6.3,Sezione 6.3
Questo studente studia la lingua russa,Этот студент изучает русский язык
L'insegnante spiegа. e gli studenti capiscono tutto,Преподаватель объязняет. и студенты всё понимают
"Katia, non so. cosa stai facendo","Катя, Я не знаю. что ты делаешь"
Chi è? Sento la voce di Elio,Кто это?. Я слушаю голос Элио
Gli studenti comprano dei vocabolari,Студенты покупают словари
Mio fratello dice. chе tu leggi poco,"Мой брат говорит,. что ты мало читаешь"
"Cosa pensi,. Denis sente il nostro discorso?","Как ты думаешь,. Денис слушает наш разговор?"
Nostro padre. spesso racconta storie interessanti,Наш отец. часто рассказывает. интересные истории
Qui c'è il parco. Voi passeggiate lì,Здесь есть парк. Вы там гуляете
Lei pensa. che noi capiamo tutto?,Вы думаете. что мы всё понимаем?
Sezione 6.4,Sezione 6.4
"Io parlo,. ma mio marito non ascolta","Я говорю,. но мой муж не слушает"
"A casa leggo una rivista,. guardo un film. o ascolto la radio","Дома я читаю журнал,. смотрю филмь. или слушаю радио"
Il mio collega racconta delle barzellette,Мой коллега рассказывает анекдоты
Pensi. che Marina sia una bella ragazza?,"Ты думаешь,. что Марина красивая девушка?"
Gli studenti non capiscono. cosa dice l'insegnante,"Студенты не понимают,. что говорит преподователь "
Chi apre sempre queste finestre?,Кто свегда открывает эти окна?
Mi sto riposando:. oggi non lavoro,Я отдыхаю:. я севодня не роботаю
Lo scrittore sta iniziando. un nuovo romanzo,Писатель начиняет. новый роман
Lei pensa. che Anna sappia chi sono io?,"Вы думаете,. что Анна знает, кто я?"
Sezione 7.1,Sezione 7.1
Чей это учебник? (Я),Это мой учебник
Чья это семья? (ОН),Это его семья
Чьё это письмо? (ТЫ),Это твоё письмо
Чей это словарь (ОНИ),Это их словарь
Чья это машина? (МЫ),Это наша машина 
Чьи это дети? (ОНА),Это её дети
Sezione 7.2,Sezione 7.2
Di chi è questa borsa? / Questa è la sua (di lei) borsa,Чьа это сумка? Это её сумка
Di chi é questo computer? / Questo è il suo (di lei) computer,Чей это компютер? Это её компютер
Di chi sonо questi fratelli? / Questi sono i miei fratelli,Чьи это братья? Это мои братья
Di chi è questo lavoro? / Questo è il nostro lavoro ,Чья это работа? Это наша работа
Di chi é questo dizionario? / Questo è il tuo dizionario ,Чей это словарь? Это твой словарь
Di chi è questo esercizio? / Questo è il vostro esercizio,Чьё это задание? Это ваше задание
Di chi sono queste macchine? / Queste sono le sue macchine (di lei),Чьи это машины? Это её машины
Di chi è questo telefono? / Questo è il loro telefono,Чей это телефон? Это их телефон
Di chi è questo biglietto? / Questo è il suo (di lui) biglietto,Чей это билет? Это его билет
Basso,Низкий
Forte/rumoroso,Громкий
Debole,Слабый
Sezione 7.4,Sezione 7.4
"Il tuo amico sa il russo? / Si, parla in russo benissimo","Твой друг знает русский язык?. Да, он прекрасно говорит по-русски"
Tu sai l'inglese? / Si parlo in inglese bene,Ты знаешь англиский я зык?. Да я хорошо говорю по-англиски
"Questa donna sa l'ucraino? / Si, parla l' ucraino molto bene","Эта женшина знает украински язык?. Да, она очень хорошо говорит украински язык"
"Dasha e Vania, voi sapete l'arabo? / No, non parliamo affatto arabo","Даша и Ваня, вы знаете арабский язык?. Нет, мы совсем не говорим по-арабски"
"I loro figli sanno il cinese? / Si, parlano bene (non male) cinese","Их дети знают китайский язык?. Да, они неплохо говорят по-китаиски"
"Il vostro direttore sa il tedesco?/ No, parla male tedesco","Ваш директор знает немецкий язык?. Нет, он плохо говорит по-немецки"
"I vostri traduttori sanno il giapponese?/ Si, parlano giapponese benissimo","Ваши переводчики знают японский язык?. Да, они отлично говорят по-японски"
"Vicino, caro, intimo",Блиский
Sezione 7.6,Sezione 7.6
A casa leggo spesso i giornali/ o guardo la televisione,Дома я часто читаю газеты. или смотрю телевизор
Queste persone conversano in spagnolo,Эти люди разговаривают по-испански
Le giornate ora sono molto fredde,Дни сейчас очень холодные
Lavoro lontano/ e raramente pranzo a casa,Я работаю далеко. и я редко обедаю дома
La nonna racconta le favole/ e i bambini ascoltano attentamente,Бабушка рассказывает сказки. и дети внимательно слушают
"Lo studente legge lentamente il testo,/ ma fa velocemente la traduzione","Студент медленно читает техт,. но быстро делает перевод"
Sezione 8.1,Sezione 8.1
"Tu fotografi la piazza? Si, io fotografo la piazza","Ты фотографируешь плошадь?. Да, я фотографирую плошадь"
"A voi piace la pasta? Si, ci piace la pasta","Вы любите макароны?. Да, мы любим макароны"
"Vedi questo alto edificio? Si, vedo questo alto edificio","Ты видишь это высокое здание? Да, я вижу это высокое здание"
"Fate i compiti? Si, facciamo i compiti","Вы готовите домашнее задание? Да, я готовим домашнее задание"
"Tu traduci il racconto? Si, traduco il racconto","Ты переводишь рассказ? Да, я перевожу рассказ"
"Lei dà autgrafi? Si, do autografi","Вы даёте абтографы? Да, я даю автографы"
"Lei disegna bene? Si, disegno bene","Вы хорошо рисуете? Да, я хорошо рисую"
"Voi vi alzate presto? Si, ci alziamo presto","Вы рано встаёте? Да, мы рано встаём"
"Tu balli bene? Si, ballo bene","Ты хорошо танцуешь? Да,  хорошо танцую"
Sezione 8.2,Sezione 8.2
"Tu balli bene? Si, ballo bene","Ты хорошо танцуешь? Да, я хорошо танцую"
Lei balla bene. Le piace molto ballare,
Che cosa fotografate?,Что вы фотографируваете?
I bambini disegnano delle macchine e delle biciclette,Дети рисуют машины и велосипеды
Che cosa vedo! Nessuno bacia Alice,Что я вижу! Никто целует Аличе
La nonna dà sempre buoni consigli,Бабушка всегда даёт хорошие советы
Amo i vecchi film italiani,Я люблю старые итальянские филмы
Quando si alza di solito il suo bambino?,Когда ваш ребёнок обычно встаёт?
Io preparo il pranzo / e mia figlia prepara la colazione,Я готовлю обедь. и моя дочь готовит забтрак
Traducо / un difficile testo tedesco,Я перевожу.трудный немецки текст
Mio marito insegna italiano,Мой муж преподавает итальянский язык
"Sapete, mio marito/ disegna bene (non male)","Вы знаете, мой муж. неплохо рисует"
Loro già preparano/ la loro risposta,Они уже готовят. свои ответ
Io non riconosco Francesco. E' lui?,Я не узнал Францеско. Это он?
Sezione 8.3,Sezione 8.3
Tu capisci questa lingua? Nessuno capisce questa lingua,Ты понимаешь этот язык? Никто не понимает этот язык
"Voi dite ""no"". Nessuno dice ""no""","Вы говорите ""нет"". Никто не говорит ""нет"""
Domani loro si alzano presto? Domani nessuno si alza presto,Завтра они встают рано? Никто завтра не встаёт рано
Ti piace questo ballo? A nessuno piace questo ballo,Ты любишь этот танец? Никто не любит этот танец
Chi risponde qui alle mail? Nessuno qui risponde alle mail,Кто здесь отвечает на мэйлы? Никто здесь не отвечает на мэйлы
Oggi piove e i vostri bambini passeggiano? Nessuno oggi passeggia,"Севодня дождь, а ваши дети гуляют? Севодня никто не гуляет"
Pensi che io veda questo monumento? Nessuno vede questo monumento,"Ты думаешь, что Я вижу этот памятник? Никто не видет этот памятмик"
Loro guardano questo film? Nessuno guarda questo film,Они смотрят этот фильм? Никто не смотрит этот фильм
Dai del latte ad Alessio? Nessuno dà del latte ad Alessio,Ты даёшь Алессио молоко? Никто не даёт Алессио молоко
Sezione 8.4,Sezione 8.4
Anna non vede Marco da molto,Анна давно не видит Марко
A casa nessuno guarda la televisione,Дома никто не смотрит телевизор
Nessuno parla francese qui,Тут никто не говорит по-французски 
"Io amo cuicinare, / invece mia sorella cucina molto male","Я люблю гатовит,. а моя сестра готовит очень плохо"
"Mi alzo sempre presto, / mentre mio fratello ama alzarsi tardi","Я всегда встаю рано,. а мой брат любит вставать поздно"
Cosa vedo? Leggi libri russi? Parli russo?,Что Я вижу? Ты читаешь русские книги? Ты говоришь по-русски?
Vostrа figliа disegna benissimo,Ваша дочь прекрасно рисует 
Dove insegna russo lei?,Где вы преподаёте русский язык?
Mi alzo e vedo il cielo blu e il mare,Я встаю и вижу синее небо и море
Pensi che loro vedano che balliamo bene il tango?,"Ты думаешь, они видят,. что мы хорошо танцуем танго?"
Sezione 9.1,Sezione 9.1
I genitori chiedono sempre / cosa leggiamo,"Родители всегда спрашивают,. что мы читаем"
Lui racconta / che vacanza interessante sta facendo la sua famiglia,"Он рассказывает,. как интересно отдыхает его семья"
Vediamo / che lui lavora molto male,"Мы видим,. что он очень плохо работает"
Loro non sanno / dove viviamo,"Они не знают,. где мы живём"
Io sento male / se tu parli così a bassa voce,"Я плохо слышу,. если ты так тихо говорит"
Voi sapete sempre / cosa fanno i vostri figli a casa?,Вы свегда знаете. что ваши дети делают дома?
Tamara prepara la cena / quando tutti guardano la televisione,"Тамара готовит ужин,. когда все смотрят телебизор"
Capiamo male / se l'insegnante parla molto veloce,"Мы плохо понимаем,. если преподаватель говорит очень быстро "
Il direttore non sa / cosa fa la sua segretaria,"Директор не знает,. что делает его секретарша"
Mio marito si alza tardi / quando non lavora,"Мой муж встаёт поздно,. когда он не работает"
Sezione 9.2,Sezione 9.2
Io mi alzo tardi / perché oggi non lavoro,"Я встаю поздно,. потому что я севодня не работаю"
Io non leggo questi libri / perché non mi piacciono i gialli,"Я не читаю эти книги,. потому что я не люблю детективы"
Noi parliamo forte / perche il vicino sente male,"Мы громко разговариваем,. потому что сосед плохо слышит"
Vedo francesco di rado / perché lavora lontano,"Я редко вижу Франческо,. потому что он работает далеко"
"Spiego questa regola ancora una volta, / perchè gli studenti ascoltano male","Я объязняю ето провило ещё раз,. потому что студенты плохо слушают"
Non so che cosa fa il presidente / perché non leggo i giornali,"Я не знаю, что делает пресидент,. потому что я не читаю газеты"
I bambini oggi non passeggiano / perchè il tempo è brutto,"Дети севодня не гуляют,. потому что плохая погода"
Sezione 9.3,Sezione 9.3
Non guardo questo film / perché non mi piacciono le storie tristi,Я не смотрю этот фильм. потoму-что я не люблю грусные истории
Lo vedo spesso poiché abita vicino,"Я его часто вижу,. потoму-что он живёт недалеко"
"Sergio parla russo molto lentamente, / perciò lo capisco bene","Сергей говорит по-русски очень медленно,. поэтому я его хорошо понимаю"
"La nonna è già vеcchia, / quindi sente male","Дедушка уже старая,. поэтому она плохо слышит"
"Noi capiamo male in russo, / poiché l'insegnante parla veloce","Мы плохо понимаем по-русски,. потму-что преподователь говорит быстро"
"Spesso lui guarda la televisione, per cui sa tutto","Он часто смотрит телевизор,. поэтому он всё знает"
"Elena ama molto i gialli, / quindi compra spesso i romanzi di Camilleri","Лена очень любит детективы,. поэтому она часто покупает романы Камиллери"
"La famiglia pranza insieme, / poiché oggi è domenica","Семья обедает вместе,. потому-что севодня воскресенье"
Sezione 9.4,Sezione 9.4
Tutti dicono / che è una traduzione difficile,"Все говорят,. что это трудный перевод"
Non capiamo quando lavora / perché è sempre in vacanza!,"Мы не понимаем, когда он работает,. потому-что он всегда отдыхает!"
"Quando mia sorella si alza presto, / guarda sempre la TV","Когда моя сестря рано встаёт,. она всегда смотрит телевизор"
"Vedi la piazza? Si, ma non vedo la farmacia","Ты видишь плошадь? Да, но я не вижу аптека"
L'ingegnere sta spiegando / come funziona questa macchina,"Инженер объязнает,. как работает эта машина"
Sezione 9.5,Sezione 9.5
Perché non guardi la partita? Perché la televisione non funziona,Почему ты не смотришь футбол? Потаму-что телебизор не работает
Vedo di rado Alessio / perché lavora a casa,"Я редко вижу Алессио,. потому-что он работает дома "
Il professore ripete sempre le domande quando non capiamo,"Преподователь всегда повторяет вопросы,. когда мы не понимаем"
"Quell'uomo ormai non è più giovane, perciò vede male","Этот мужчина уже немолодой,. поэтому он плохо видит"
"Quando leggo i giornali russi, capisco quasi tutto","Когда я смотрю русские газеты,. я почти всё понимаю "
Gli studenti non sempre chiedono quando non capiscono,"Студенты не всегда спрашивают,. когда они не понимают"
Parlo ad alta voce perché il nonno sente molto male,"Я говорю громко,. потаму-что дедушка очень плохо слышит"
Non capisco perché tu stia traducendo questo testo,"Я не понимаю,. почему ты переводишь этот текст"
Sezione 10.1,Sezione 10.1
Io voglio imparare questa lingua difficile,Я хочу изучать этот трудный язык
I bravi uomini d'affari possono fare soldi velocemente,Хорошие бизнесмены. могут быстро делать деньги 
"Vuoi del caffè. No grazie, adesso non posso, dopo","Ты хочешь кофе? Нет, спосибо, сейчас не могу, потом"
I bambini non vogliono guardare la televisione? Possono giocare a casa,Дети не хотят смотреть телевизор? Они могут играть дома
"Alioscia, come va la tua mano? Puoi già disegnare?","Алёша, как твоя рука? Ты уже можешь рисовать?"
"Dascia e Katia, volete del cacao? Dascia (lo) vuole ma io non (lo) voglio","Даша и Катиа, хотите какао? Даша хочет, а я не хочу"
Non possiamo leggere! Qui è buio!,Мы не можем читать! Здесь темно!
"Sonia e Petia, non volete pranzare? E chi vuole passeggiare?","Соня и Петя, вы не хотите обедать? А кто хочет гулять?"
Sezione 10.2,Sezione 10.2
I miei genitori vivono a Lecce e io vivo a Bari,Мои родители живут в Лечче. а я живу в Бари
"Lei scrive poesie? No, scrivo favole","Вы пишите стихи? Нет, я пишу рассказы"
I russi a colazione mangiano cereali e bevono te. E voi cosa mangiate?,Русские едят на завтрак каши и пют чай. А что вы едите?
Le nostre bambine cantano e ballano molto bene,Наши девучки очень хорошо поют и танцуют
"Mangiate la carne? No, non la mangiamo, siamo vegetariani","Вы мясо едите? Нет, не едим, мы вегетарианки"
Io a quest'ora aspetto sempre qui l'autobus,Я всегда в это время здесь жду автобус
Gli uomini bevono rhum e cognac ma noi donne beviamo solo champagne,"Мужчины пьют ром и коньяк,. а мы, женшины, пьём только шампанское"
Perché non mangi? Non mangio perché non voglio,"Почему ты не есть? Я не еду, потому-что я не хочу"
Che cosa bevi' Tè o caffe?,Что ты пьёшь? Чай или кофе?
Sezione 10.3   SING. - PLUR.,Sezione 10.3   SING. - PLUR.
"Твой ребёниок ест мясо?Нет, он пьёт только молоко","Твои дету едят мясо? Нет, они пьют только молоко"
Этот молодой человек хорошо поёт,Эти молодые люди хорошо поют
"Я думаю, что ваш клиент не может ждать","Мы думаем,. что ваши клиенти не могут ждать"
Наш менежер ждёт твоё решение,Наши менежеры ждут твои решения
Студент-эконоимист пишет длинный реферат,Студенты-экономистые пишут длинные рефераты
"Этот клиент хочет ужинать?Нет, он уже пьёт кофе","Эти клиенты хотят ужинать? Нет, они уже пьют кофе"
Мой брат живёт далеко,Мои братья живут далеко
"Я беру сок, а что ты берёшь?","Мы берём сок, а что бы берёте?"
Sezione 10.4,Sezione 10.4
"Perché non bevi il latte? Ah, non vuoi bere il latte?","Почему ты не пьёшь молоко? А-а, ты не хочешь пить молоко?"
Non voglio vedere quello spettacolo perché tutti dicono che è brutto,"Я не хочу смотреть этот спектакл. потому-что все говорят, что он плохо"
I nostri clienti scrivono sempre brevi mail perché sanno che il direttore non ama leggere lunghe lettere,"Наши кленты всегда пишут короткие мейлы,. потому-что они знают,. что директор не любит читать длинные письма"
"Quando cucino, canto sempre delle vecchie canzoni italiane","Когда я готовлю,. всегда пою старые итальянские песни"
Sto aspettando l'estate perché adoro il mare,"Я жду лето,. Потому-что я люблю море"
"Non voglio mangiare la carne, sto mangiando l'insalata e sto bevendo il tè","Я не хочу ест мясо,. я ем салат и пью чай"
Vedo di rado Roberto perché vive lontano,"Я редко вижу Роберто,. потому-что он живёт далеко"
Non bevete il caffè perché vi piace il tè,"Вы не пьёте кофе, потому-что вы любите чай"
